"Word","SimWord","Polarity","MqapWordStrength","MqapSimStrength","WordScore","SimScore","MqapCmp","PredictedCmpInformal","category.coef","category.p","interaction.coef","interaction.p","PredictedCmpFormal"
"big/a","huge/a","neutral",1,1,0,0,"same","same",-0.152249495321424,0.589529142264154,0.0763270320069566,0.000000120013306177576,"same"
"big/a","deep/a","neutral",1,1,0,0,"same","same",-0.209898086317210,0.402080824835976,0.747444604311827,0,"same"
"blatant/a","noisy/a","negative",2,1,-1.45318956236,-0.323580380052,"stronger","stronger",-2.18045612814736,0.000000000000000271306119624913,1.47657520609781,6.45898833851476e-189,"weaker"
"blunt/a","pointless/a","negative",2,1,-0.659083017592,-1.84340082672,"stronger","weaker",-0.579998763931579,0.0005311876813922,-1.91069650790881,3.02719635766068e-171,"stronger"
"blunt/a","dull/a","negative",2,1,-0.659083017592,-1.28220749233,"stronger","weaker",-0.655005008208309,0.0159534361137575,-1.20211826959901,2.69421183053511e-71,"stronger"
"breathtaking/a","exciting/a","positive",2,2,1.19861992346,0.385010212014,"same","stronger",2.38130381358195,0.000000000000000000000000000271488831749552,-2.07374900508125,0,"weaker"
"brilliant/a","impressive/a","positive",2,2,0.817175877392,0.31535487379,"same","stronger",1.73383310105967,0.000000000000000000000594471207835469,-1.51748294616426,0,"weaker"
"brilliant/a","colorful/a","positive",2,1,0.817175877392,0.768257798805,"stronger","stronger",1.92358967647523,0.0000000000000000000767131177372023,-1.18437099285643,1.92518033315271e-185,"weaker"
"brisk/a","energetic/a","positive",1,1,0.946306006767,0.65882637852,"same","stronger",0.432780197686137,0.152490457196186,0.407348752942267,0.0000303572919007112,"same"
"careful/a","conscientious/a","positive",1,2,0.27097362,0.501217836553,"weaker","weaker",0.312701404731634,0.0126291828076342,0.133475657872147,0.420984654958174,"same"
"careful/a","thorough/a","positive",1,1,0.27097362,0.752224424541,"same","weaker",0.44365377167139,0.00666216440643983,0.255439379869013,0.00302341036657094,"stronger"
"careful/a","mindful/a","positive",1,2,0.27097362,1.22481375567,"weaker","weaker",0.321118146451383,0.00602558573823323,0.753052607325704,0.00048940359742394,"stronger"
"careless/a","haphazard/a","negative",2,1,-0.75122242099,-1.00358472739,"stronger","weaker",-1.04082652639298,0.0570457845516599,-1.23352389693936,0.000000710039164413712,"same"
"ceaseless/a","continuous/a","neutral",1,1,0,0,"same","same",-0.752358172856494,0.00373515823664934,0.606380889325069,0.0161147923073252,"weaker"
"cheap/a","inferior/a","negative",2,2,-0.760771726841,-0.775238893866,"same","weaker",-1.22941016155456,0.000024448840696249,0.919591748907077,6.92960152697148e-85,"weaker"
"cheerful/a","cheery/a","positive",2,2,0.820299593821,0.498989618883,"same","stronger",0.94660102215599,0.000126059681161372,-0.164975550192923,0.211431142856790,"same"
"cheery/a","cheerful/a","positive",2,2,0.498989618883,0.820299593821,"same","weaker",0.781614105421299,0.00287680843128995,0.164887189906610,0.211680575281179,"same"
"childish/a","immature/a","negative",2,1,-0.677675687339,-1.20345907885,"stronger","weaker",-1.40529325399418,0.000000000000775290306242813,-0.142152693222885,0.0994715793752136,"same"
"clean/a","fresh/a","positive",1,1,0.486740577917,0.749199387059,"same","weaker",0.68468180958206,0.0000250021053084716,0.244058256568609,0.000000000000000384453377238495,"stronger"
"clean/a","pure/a","positive",1,1,0.486740577917,0.452997912901,"same","stronger",0.856438059683095,0.00000162369046344139,-0.392583320853449,0.0000000000000000000000000000000000000200808198778628,"weaker"
"clean/a","pure/a","positive",1,1,0.486740577917,0.452997912901,"same","stronger",0.856438059683095,0.00000162369046344139,-0.392583320853449,0.0000000000000000000000000000000000000200808198778628,"weaker"
"clean/a","perfect/a","positive",1,2,0.486740577917,1.58574381697,"weaker","weaker",0.623041767738969,0.254165986057689,1.23465531730884,0,"same"
"clean/a","easy/a","positive",1,1,0.486740577917,0.780805332376,"same","weaker",0.896339280081637,0.00135916223918725,-0.190047852501437,0.00000000000135893457047879,"weaker"
"clumsy/a","awkward/a","negative",2,2,-1.01948830983,-0.50226095245,"same","stronger",-1.56363113921566,0.000000000000000571323266661036,0.567928167379529,0.00000000000000000000000000000000409055162684703,"weaker"
"clumsy/a","unskilled/a","negative",2,1,-1.01948830983,-1.54483999737,"stronger","weaker",-1.69825531179431,0.00000000000080696068562089,-0.0107416164128238,0.96185764799402,"same"
"colorful/a","vibrant/a","positive",1,2,0.768257798805,0.998681953666,"weaker","weaker",0.80263976655951,0.000343566647189396,0.619236246014725,0.0000000000000000000105400520208745,"stronger"
"comfortable/a","easy/a","positive",1,1,0.905429019149,0.780805332376,"same","stronger",1.49299407021398,0.0000359927653582190,-0.734039787582406,2.29424855084292e-144,"weaker"
"comfortable/a","cozy/a","positive",1,2,0.905429019149,1.05744749798,"weaker","weaker",0.890609846668506,0.00764300430185206,0.311981335445545,0.000000454423705402052,"stronger"
"comfortable/a","wide/a","positive",1,1,0.905429019149,0.579040972862,"same","stronger",1.23411300732821,0.0000744696747530775,-0.86170511415195,1.36189038722566e-112,"weaker"
"comfortable/a","rich/a","positive",1,1,0.905429019149,0.504589569974,"same","stronger",1.51976343132394,0.000000186019301009502,-1.09661894351693,3.94926411644129e-265,"weaker"
"confused/a","perplexed/a","negative",2,2,-0.588844268106,-0.744758070825,"same","weaker",-0.926386644628437,0.00517281337245102,0.309750087482128,0.0495521462900565,"weaker"
"confused/a","incoherent/a","negative",2,2,-0.588844268106,-2.3013292954,"same","weaker",-0.737855389058176,0.000757499804489855,-2.2086934740526,1.94768050737860e-276,"stronger"
"confused/a","disorganized/a","negative",2,2,-0.588844268106,-1.27712148186,"same","weaker",-1.03098537408054,0.0058366237802495,-1.21744056445807,0.0000000000457625641791437,"stronger"
"confusing/a","unclear/a","negative",2,1,-0.407639253672,-0.84277320904,"stronger","weaker",-0.822523640732467,0.000101100921378817,-0.0637284671215818,0.300135084916381,"same"
"congenial/a","sociable/a","positive",2,2,0.723103739986,0.764385472746,"same","weaker",0.941584119596863,0.0000255417923070798,-0.0890193494835777,0.801940178357029,"same"
"conscientious/a","careful/a","positive",2,1,0.501217836553,0.27097362,"stronger","stronger",0.446131691131143,0.0250600246428980,-0.133439660383538,0.421108122022853,"same"
"continuous/a","ceaseless/a","neutral",1,1,0,0,"same","same",-0.146608903022316,0.178228979072834,-0.607202956802039,0.0159710203581751,"same"
"contradictory/a","inconsistent/a","negative",2,1,-0.420871301363,-1.27711025893,"stronger","weaker",-0.340125664411117,0.238184438070933,-1.61487061713138,0.000000000000000000000000000000000000000000176762879097246,"same"
"contradictory/a","incompatible/a","negative",2,1,-0.420871301363,-0.225034681345,"stronger","stronger",-0.645426515734577,0.0410748723788376,-0.181785335361286,0.374631039586939,"same"
"cordial/a","friendly/a","positive",1,2,0.796465679605,0.704636641247,"weaker","stronger",0.629251549284334,0.108754302943291,0.188952763517668,0.198693959616097,"same"
"cordial/a","warm/a","positive",1,1,0.796465679605,0.660483697117,"same","stronger",1.25088206938858,0.00000574153269840788,-0.449464771978822,0.00315093633737030,"weaker"
"cordial/a","sincere/a","positive",1,2,0.796465679605,0.709084375034,"weaker","stronger",1.50099298231325,0.000000371733203273939,-0.708415326232243,0.00000618543768610983,"weaker"
"cozy/a","comfortable/a","positive",2,1,1.05744749798,0.905429019149,"stronger","stronger",1.20265423145797,0.000367918892491942,-0.312049265593201,0.000000451802912047462,"weaker"
"cozy/a","friendly/a","positive",2,2,1.05744749798,0.704636641247,"same","stronger",1.00760321641810,0.00767318766447633,-0.192864564035049,0.00138692239482887,"weaker"
"creative/a","imaginative/a","positive",2,2,0.644757686393,1.03134215489,"same","weaker",0.830558607207697,0.0216296986587879,0.209705448126064,0.000000195236537246609,"stronger"
"crisp/a","distinct/a","positive",1,1,0.855209574713,0.233208283753,"same","stronger",0.93500120841234,0.00000000415803708068963,-0.717124096005746,0.00000000000000000000000120115187558671,"weaker"
"crisp/a","tender/a","positive",1,1,0.855209574713,1.55051395743,"same","weaker",0.924228753300295,0.0000564848127377507,1.26768385980247,0.000000000000234969958275263,"stronger"
"crisp/a","fresh/a","positive",1,1,0.855209574713,0.749199387059,"same","stronger",0.947166527836883,0.0000701997563393046,0.106142077979702,0.0560722218062441,"same"
"crude/a","unskilled/a","negative",1,1,-1.04744192266,-1.54483999737,"same","weaker",-1.78324009012147,0.00314491728276653,-0.663980290171668,0.00321887398735387,"stronger"
"cursory/a","careless/a","negative",1,2,-0.53005200161,-0.75122242099,"weaker","weaker",-1.56861493873694,0.00351980347413672,0.575871457059477,0.000272494404668564,"weaker"
"daring/a","adventurous/a","positive",2,1,0.682535359506,0.749115533977,"stronger","weaker",0.656562056528409,0.000000000000000000000000000000000000000000000000371655097616909,0.353459804378254,0.00000725367913706626,"stronger"
"dead/a","lifeless/a","negative",1,1,-0.405101607508,-1.62393807557,"same","weaker",-0.699807158431725,0.0286763344132815,-1.62832710171670,1.50073462067469e-202,"stronger"
"dead/a","lifeless/a","negative",1,1,-0.405101607508,-1.62393807557,"same","weaker",-0.699807158431725,0.0286763344132815,-1.62832710171670,1.50073462067469e-202,"stronger"
"dead/a","tired/a","negative",1,2,-0.405101607508,-0.802225867729,"weaker","weaker",-0.749951460008419,0.0168291677227004,-0.578890662795275,4.26479325465281e-98,"stronger"
"dead/a","insensitive/a","negative",1,2,-0.405101607508,-1.43330923074,"weaker","weaker",-0.688339676066507,0.0127902825804607,-0.219605441290610,0.0124724862809565,"stronger"
"dead/a","insensitive/a","negative",1,2,-0.405101607508,-1.43330923074,"weaker","weaker",-0.688339676066507,0.0127902825804607,-0.219605441290610,0.0124724862809565,"stronger"
"dead/a","inactive/a","negative",1,1,-0.405101607508,-1.36812397411,"same","weaker",-0.655758688443603,0.0126254376032097,-0.370365034971233,0.177258769531331,"same"
"debatable/a","questionable/a","negative",2,2,-0.313708797365,-0.636778127613,"same","weaker",-0.643675679173179,0.0106026915891875,-0.476250452253646,0.0000604575776589272,"stronger"
"deceitful/a","dishonest/a","negative",2,2,-0.991807485675,-1.28553688869,"same","weaker",-1.29987523444747,0.00456991103183547,-0.966486232038523,0.000000180835212841462,"stronger"
"deceitful/a","dishonest/a","negative",2,2,-0.991807485675,-1.28553688869,"same","weaker",-1.29987523444747,0.00456991103183547,-0.966486232038523,0.000000180835212841462,"stronger"
"deceptive/a","dishonest/a","negative",2,2,-0.814766202976,-1.28553688869,"same","weaker",-1.12842493104023,0.00128843914279028,-0.879292322282318,0.0000000217826499301960,"stronger"
"decisive/a","definite/a","positive",1,1,0.378204336059,0.828705142323,"same","weaker",0.411877185472821,0.024377363933312,0.703515699640827,0.000000582003022752409,"stronger"
"deficient/a","inadequate/a","negative",1,1,-0.81789325384,-0.879566876888,"same","weaker",-1.72134749418258,0.000115433279807772,0.314511476244838,0.101365970345882,"same"
"deficient/a","inadequate/a","negative",1,1,-0.81789325384,-0.879566876888,"same","weaker",-1.72134749418258,0.000115433279807772,0.314511476244838,0.101365970345882,"same"
"definite/a","distinct/a","positive",1,1,0.828705142323,0.233208283753,"same","stronger",1.19412827855744,0.00000000000000508259310800175,-0.894929160215675,0.00000000000000000000000000000000000000000000000086236572783728,"weaker"
"definite/a","decisive/a","positive",1,1,0.828705142323,0.378204336059,"same","stronger",1.11540105746688,0.00000000000000000935906334472288,-0.703511910368383,0.000000582122781048522,"weaker"
"delicate/a","tender/a","positive",1,1,0.725312035829,1.55051395743,"same","weaker",1.19404639826913,0.00000009908217445743,0.898953587930245,0.000000335389608253485,"stronger"
"delicate/a","tender/a","positive",1,1,0.725312035829,1.55051395743,"same","weaker",1.19404639826913,0.00000009908217445743,0.898953587930245,0.000000335389608253485,"stronger"
"delicate/a","refined/a","positive",1,1,0.725312035829,0.61754926776,"same","stronger",1.24146799653677,0.00000000236393847646073,-0.561170693710525,0.0000241546326613420,"weaker"
"delighted/a","pleased/a","positive",2,2,1.6939653787,1.27635794972,"same","stronger",1.93644361404313,0.0000000666560653198815,-0.362309242620121,0.00000966863833183945,"weaker"
"delighted/a","enchanted/a","positive",2,2,1.6939653787,2.44608038066,"same","weaker",2.30586707858929,0.00000178598155553999,-0.92529808434146,0.0000278250257461424,"weaker"
"deplorable/a","bad/a","negative",2,2,-1.93366898731,-1.07821423547,"same","stronger",-1.98166939861137,0.000000000000000000190121408866257,0.404549480587067,0.000132111419007287,"weaker"
"deplorable/a","inferior/a","negative",2,2,-1.93366898731,-0.775238893866,"same","stronger",-2.89180824996243,0.0000000000258027124188312,1.48361654009721,0.0000000000000000000000000000000000000341570020676962,"weaker"
"deplorable/a","wrong/a","negative",2,1,-1.93366898731,-0.513601596448,"stronger","stronger",-2.32507614854441,0.000000000000000000246294246660916,1.51984486555338,0.000000000000000000000000000000000000000000000246192893884461,"weaker"
"devoid/a","nonexistent/a","negative",2,1,-1.04235372763,-1.53485427703,"stronger","weaker",-1.62081760965627,0.0000935845780258292,-0.712575264762841,0.000000000000000116569242945820,"stronger"
"dignified/a","distinguished/a","positive",2,2,2.02505129716,0.528995102238,"same","stronger",1.58528273949663,0.00000167874820160404,-0.288105836615824,0.0281648965609271,"weaker"
"dignified/a","proud/a","positive",2,2,2.02505129716,0.427062929915,"same","stronger",0.950976795062216,0.0442869834020909,0.436512612713005,0.0000122837617863030,"stronger"
"diligent/a","patient/a","positive",1,1,0.792295695608,0.637784865833,"same","stronger",1.02237076365108,0.0192305120141106,-0.152996989642067,0.522566436475635,"same"
"dim/a","indistinct/a","negative",1,1,-0.610325159473,-0.753821351918,"same","weaker",-0.954422965356317,0.00000694639161322917,-0.0419808439856009,0.90110418380446,"same"
"dim/a","stupid/a","negative",1,2,-0.610325159473,-1.50313863896,"weaker","weaker",-0.620905703309196,0.00412251727438383,-1.41443070085052,0.000000000000426146166899166,"stronger"
"direct/a","primary/a","neutral",1,1,0,0,"same","same",-0.00140945733953480,0.996150468671703,0.0074626492412522,0.885676838973358,"same"
"dirty/a","lousy/a","negative",1,2,-1.05609488646,-1.77689357651,"weaker","weaker",-1.53593805890442,0.00359201737795785,-1.95846447887917,0,"stronger"
"dirty/a","lewd/a","negative",1,2,-1.05609488646,-1.09946852523,"weaker","weaker",-1.19740889551233,0.0562049819349485,-0.521282004386486,0.0100718998966194,"same"
"dirty/a","nasty/a","negative",1,2,-1.05609488646,-1.05158998903,"weaker","stronger",-1.84932910230842,0.000902506675791848,-0.00161852876648302,0.964427685836292,"same"
"disabled/a","unfit/a","negative",1,2,-0.249238115052,-0.519056776819,"weaker","weaker",-0.399157058543352,0.00991957272016866,-0.513099768566938,0.00358688791388057,"stronger"
"disagreeable/a","annoying/a","negative",2,2,-0.814827271142,-1.01728492404,"same","weaker",-0.54328289786795,0.0334180857376505,-1.10531687092926,0.000000000547608127949538,"stronger"
"disappointed/a","unsuccessful/a","negative",2,1,-1.10610434865,-0.526186521919,"stronger","stronger",-1.78689661605271,0.0000000000127124231728817,1.04624026534993,0.0000000000000000000000000000000000000000000735899483783642,"weaker"
"disappointing/a","unsatisfactory/a","negative",2,1,-1.5830203099,-1.46770534601,"stronger","stronger",-2.32005728224210,0.00000000000148355205396073,0.538997886229884,0.0000000858232228870969,"weaker"
"disgraceful/a","immoral/a","negative",2,2,-1.4473388105,-0.361605992802,"same","stronger",-3.18249656706283,0.0000000764108846037905,2.37589486609993,1.63153997567809e-60,"weaker"
"dishonest/a","deceitful/a","negative",2,2,-1.28553688869,-0.991807485675,"same","stronger",-2.26584616276606,0.000000641661304617295,0.966315937569412,0.000000181718202805178,"weaker"
"dishonest/a","false/a","negative",2,2,-1.28553688869,-0.939919938066,"same","stronger",-2.10775653250149,0.000000679359700102066,0.721975596615272,0.0000000228732385297040,"weaker"
"dishonest/a","deceptive/a","negative",2,2,-1.28553688869,-0.814766202976,"same","stronger",-2.00777331997291,0.0000000245700348571349,0.87927783348429,0.0000000217933634579686,"weaker"
"dismal/a","depressing/a","negative",2,2,-1.286695576,-0.877927476039,"same","stronger",-2.50773948986856,0.0000000316434856070447,1.06478966951534,8.16657295856694e-61,"weaker"
"distasteful/a","offensive/a","negative",2,1,-1.54545398263,-1.24321378399,"stronger","stronger",-2.12711318008994,0.00000000000000000000000000000000000339429620526804,0.293978324909901,0.000537909104987022,"weaker"
